Time (s),Channel 1 (V),Channel 2 (V)
0.57156536,2.524154202180837,2.484418551260108
0.57188272,2.525090803098208,2.485354328850282
0.57220008,2.525090803098208,2.487225884030631
0.5725174399999999,2.52696400493295,2.488161661620805
0.5728348,2.527900605850322,2.48909743921098
0.57315216,2.528837206767693,2.490033216801153
0.57346952,2.530710408602435,2.490968994391328
0.57378688,2.531647009519806,2.491904771981503
0.5741042399999999,2.531647009519806,2.492840549571676
0.5744216,2.533520211354548,2.493776327161851
0.57473896,2.53539341318929,2.495647882342199
0.57505632,2.536330014106661,2.495647882342199
0.57537368,2.537266615024032,2.497519437522548
0.5756910399999999,2.538203215941404,2.498455215112722
0.5760084,2.539139816858774,2.50032677029307
0.57632576,2.540076417776146,2.501262547883245
0.57664312,2.541013018693517,2.502198325473419
0.57696048,2.542886220528259,2.504069880653768
0.5772778399999999,2.544759422363001,2.505941435834116
0.5775952,2.545696023280372,2.50687721342429
0.57791256,2.546632624197743,2.507812991014465
0.57822992,2.547569225115114,2.508748768604639
0.57854728,2.549442426949856,2.510620323784988
0.5788646399999999,2.551315628784599,2.512491878965336
0.579182,2.551315628784599,2.51342765655551
0.57949936,2.553188830619341,2.515299211735859
0.57981672,2.555062032454083,2.517170766916207
0.58013408,2.556935234288825,2.51997809968673
0.5804514399999999,2.557871835206196,2.520913877276904
0.5807688,2.558808436123567,2.522785432457253
0.58108616,2.559745037040938,2.524656987637601
0.58140352,2.561618238875681,2.52652854281795
0.58172088,2.562554839793052,2.528400097998298
0.5820382399999999,2.563491440710423,2.531207430768821
0.5823556,2.565364642545165,2.534014763539344
0.58267296,2.565364642545165,2.535886318719692
0.58299032,2.566301243462536,2.53775787390004
0.58330768,2.567237844379907,2.540565206670563
0.5836250399999999,2.568174445297278,2.544308317031261
0.5839424,2.568174445297278,2.546179872211609
0.58425976,2.568174445297278,2.549922982572306
0.58457712,2.569111046214649,2.552730315342829
0.58489448,2.569111046214649,2.555537648113352
0.5852118399999999,2.569111046214649,2.558344980883875
